signo,elemento,qualidade,regente,data_inicio,data_fim,simbolo,caracteristicas,pontos_fracos,compatibilidade,cores,numeros_sorte,profissoes,partes_corpo,pedras,famosos
Áries,Fogo,Cardeal,Marte,21/03,19/04,Carneiro,"Corajoso, determinado, confiante, entusiasmado, otimista, honesto, apaixonado","Impaciente, mal-humorado, agressivo, impulsivo","Leão, Sagitário, Gêmeos, Aquário","Vermelho, laranja","1, 8, 17","Líder, empresário, atleta, cirurgião, militar","Cabeça, face","Diamante, rubi","Lady Gaga, Robert Downey Jr., Mariah Carey"
Touro,Terra,Fixo,Vênus,20/04,20/05,Touro,"Confiável, paciente, prático, devotado, responsável, estável, leal","Teimoso, possessivo, inflexível, materialista","Virgem, Capricórnio, Câncer, Peixes","Verde, rosa","2, 6, 9, 12, 24","Banqueiro, arquiteto, cozinheiro, agricultor, designer","Pescoço, garganta","Esmeralda, quartzo rosa","Adele, Dwayne Johnson, David Beckham"
Gêmeos,Ar,Mutável,Mercúrio,21/05,20/06,Gêmeos,"Gentil, comunicativo, adaptável, curioso, versátil, divertido","Nervoso, inconsistente, indeciso, superficial","Libra, Aquário, Áries, Leão","Amarelo, verde claro","5, 7, 14, 23","Jornalista, escritor, professor, vendedor, relações públicas","Braços, mãos, pulmões","Ágata, citrino","Angelina Jolie, Johnny Depp, Marilyn Monroe"
Câncer,Água,Cardeal,Lua,21/06,22/07,Caranguejo,"Terno, protetor, emocional, intuitivo, compassivo, familiar","Mal-humorado, pessimista, desconfiado, manipulador","Escorpião, Peixes, Touro, Virgem","Branco, prata","2, 3, 15, 20","Enfermeiro, cuidador, chef, assistente social, professor","Estômago, seios","Pérola, pedra da lua","Selena Gomez, Tom Hanks, Ariana Grande"
Leão,Fogo,Fixo,Sol,23/07,22/08,Leão,"Criativo, apaixonado, generoso, caloroso, alegre, carismático","Arrogante, teimoso, egoísta, inflexível, dramático","Áries, Sagitário, Gêmeos, Libra","Dourado, laranja, amarelo","1, 3, 10, 19","Ator, político, CEO, artista, empresário","Coração, coluna","Rubi, âmbar","Barack Obama, Jennifer Lopez, Madonna"
Virgem,Terra,Mutável,Mercúrio,23/08,22/09,Virgem,"Leal, analítico, prático, trabalhador, organizado, perfeccionista","Tímido, preocupado, crítico demais, pessimista","Touro, Capricórnio, Câncer, Escorpião","Bege, verde, marrom","5, 14, 15, 23, 32","Contador, médico, cientista, analista, escritor","Intestinos, sistema digestivo","Safira, jaspe","Beyoncé, Michael Jackson, Keanu Reeves"
Libra,Ar,Cardeal,Vênus,23/09,22/10,Balança,"Cooperativo, diplomático, gracioso, justo, social, equilibrado","Indeciso, evita confrontos, guarda rancor, autocomplacente","Gêmeos, Aquário, Leão, Sagitário","Rosa, azul","4, 6, 13, 15, 24","Advogado, diplomata, designer, conselheiro, mediador","Rins, região lombar","Opala, jade","Kim Kardashian, Bruno Mars, Serena Williams"
Escorpião,Água,Fixo,"Plutão, Marte",23/10,21/11,Escorpião,"Determinado, corajoso, leal, ambicioso, intuitivo, apaixonado","Ciumento, secreto, vingativo, desconfiado, obsessivo","Câncer, Peixes, Virgem, Capricórnio","Vermelho escuro, preto","8, 11, 18, 22","Detetive, psicólogo, cirurgião, pesquisador, investigador",Órgãos reprodutivos,"Topázio, ônix","Leonardo DiCaprio, Katy Perry, Ryan Gosling"
Sagitário,Fogo,Mutável,Júpiter,22/11,21/12,Arqueiro,"Generoso, idealista, ótimo senso de humor, aventureiro, filosófico","Impaciente, promete demais, irresponsável, tátil","Áries, Leão, Libra, Aquário","Roxo, azul turquesa","3, 7, 9, 12, 21","Viajante, professor, filósofo, empresário, publicitário","Fígado, coxas","Turquesa, ametista","Taylor Swift, Brad Pitt, Jay-Z"
Capricórnio,Terra,Cardeal,Saturno,22/12,19/01,Cabra,"Responsável, disciplinado, autocontrolado, ambicioso, prático","Desconfiado, pessimista, rígido, teimoso, workaholic","Touro, Virgem, Escorpião, Peixes","Marrom, preto, cinza","4, 8, 13, 22","Gerente, administrador, banqueiro, cientista, engenheiro","Joelhos, ossos","Granada, ônix","Michelle Obama, Denzel Washington, Kate Middleton"
Aquário,Ar,Fixo,"Urano, Saturno",20/01,18/02,Aquário,"Progressivo, original, independente, humanitário, visionário","Teimoso, distante emocionalmente, temperamental, inflexível","Gêmeos, Libra, Áries, Sagitário","Azul elétrico, prata","4, 7, 11, 22, 29","Cientista, inventor, programador, humanitário, astrólogo","Tornozelos, circulação","Ametista, água-marinha","Oprah Winfrey, Cristiano Ronaldo, Ellen DeGeneres"
Peixes,Água,Mutável,"Netuno, Júpiter",19/02,20/03,Peixes,"Compassivo, artístico, intuitivo, gentil, sábio, musical","Muito confiante, triste, deseja escapar da realidade, vítima","Câncer, Escorpião, Touro, Capricórnio","Verde-mar, lavanda","3, 9, 12, 15, 18, 24","Artista, músico, enfermeiro, psicólogo, vidente","Pés, sistema linfático","Água-marinha, ametista","Rihanna, Steve Jobs, Albert Einstein"
